gene,comparison,dataset,tissue,mean_disease,mean_control,log2FC,pvalue,tstat
TRPM6,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,4.052941176470589,3.1333333333333337,0.9196078431372552,0.0021952096804351185,3.6419426982754417
FCER1A,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,1.188235294117647,2.1444444444444444,-0.9562091503267973,0.013388894835819528,-2.691431384840802
MTR,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,6.2294117647058815,6.466666666666667,-0.23725490196078525,0.019103553817646,-2.6889718831290503
SLC41A1,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,4.511764705882352,4.877777777777777,-0.3660130718954253,0.02471525465862392,-2.584734300422971
IDO1,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,6.364705882352942,4.5,1.8647058823529417,0.03003276992936528,2.4174107823364857
HRH1,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,1.5058823529411764,0.7222222222222222,0.7836601307189542,0.037841782321760234,2.2333255824174674
MS4A2,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,-0.11764705882352947,-2.011111111111111,1.8934640522875816,0.0456840145103732,2.1959827156302616
TPSAB1,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,1.8705882352941177,-0.1444444444444445,2.015032679738562,0.0675076454096114,2.013062847322634
SLC39A14,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,3.864705882352941,3.6222222222222222,0.24248366013071898,0.07033027205192588,1.9162605801084285
PTGS2,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,5.052941176470589,4.233333333333333,0.8196078431372555,0.07940816483235101,1.8855845090089411
KMO,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,0.5352941176470589,-0.18888888888888888,0.7241830065359478,0.08323791785954895,1.8408544595936975
TSLP,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,0.11176470588235293,0.7222222222222222,-0.6104575163398693,0.0850342078503446,-1.831885439575568
AHCY,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,4.970588235294118,5.188888888888889,-0.21830065359477135,0.10800752810722598,-1.7344331770133439
IL1B,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,1.935294117647059,0.4222222222222223,1.5130718954248368,0.12541539463724322,1.6198658615971697
CBS,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,1.588235294117647,1.2111111111111112,0.3771241830065357,0.22236004100562656,1.2640968920021611
GCLM,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,6.517647058823529,6.666666666666668,-0.1490196078431385,0.22773298309316078,-1.2505312259581032
