gene,comparison,dataset,tissue,mean_disease,mean_control,log2FC,pvalue,tstat
TRPM6,Rhinitis_vs_Control,GSE101720,Nasal epithelium,4.0600000000000005,3.1333333333333337,0.9266666666666667,0.005465462245773458,3.1828120123054253
MTR,Rhinitis_vs_Control,GSE101720,Nasal epithelium,6.209999999999999,6.466666666666667,-0.2566666666666677,0.014059968077328799,-2.832490787194194
IDO1,Rhinitis_vs_Control,GSE101720,Nasal epithelium,6.710000000000001,4.5,2.210000000000001,0.02307854589272146,2.5058328618493126
SLC41A1,Rhinitis_vs_Control,GSE101720,Nasal epithelium,4.550000000000001,4.877777777777777,-0.3277777777777766,0.03880180880126973,-2.3577376572528035
HRH1,Rhinitis_vs_Control,GSE101720,Nasal epithelium,1.53,0.7222222222222222,0.8077777777777778,0.06853824421482932,1.9464402679534332
TSLP,Rhinitis_vs_Control,GSE101720,Nasal epithelium,-0.04999999999999999,0.7222222222222222,-0.7722222222222221,0.0722042268035514,-1.917323454365921
GCLM,Rhinitis_vs_Control,GSE101720,Nasal epithelium,6.42,6.666666666666668,-0.24666666666666792,0.08493837777138358,-1.8295322528063596
FCER1A,Rhinitis_vs_Control,GSE101720,Nasal epithelium,1.31,2.1444444444444444,-0.8344444444444443,0.09458627765744566,-1.7859652967560216
PTGS2,Rhinitis_vs_Control,GSE101720,Nasal epithelium,5.11,4.233333333333333,0.8766666666666669,0.0947644165219716,1.7719781282238303
IL1B,Rhinitis_vs_Control,GSE101720,Nasal epithelium,2.1799999999999997,0.4222222222222223,1.7577777777777774,0.10883735736107385,1.6948658644572714
MS4A2,Rhinitis_vs_Control,GSE101720,Nasal epithelium,-0.38,-2.011111111111111,1.6311111111111112,0.11992215373598018,1.639861148700745
KMO,Rhinitis_vs_Control,GSE101720,Nasal epithelium,0.52,-0.18888888888888888,0.7088888888888889,0.1316212621019169,1.5841510609977578
ALOX5,Rhinitis_vs_Control,GSE101720,Nasal epithelium,3.2,2.7777777777777777,0.4222222222222225,0.14610065024231086,1.5232938760085668
