gene,comparison,dataset,tissue,mean_disease,mean_control,log2FC,pvalue,tstat,direction,pmid,notes,category,cofactors,pathway,FDR
AHCY,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,4.970588235294118,5.188888888888889,-0.21830065359477135,0.10800752810722598,-1.7344331770133439,unchanged,,,Methylation,NAD+,SAH → homocysteine,0.002456544166201204
ALOX5,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,3.0352941176470587,2.7777777777777777,0.257516339869281,0.3000617649520659,1.069902886456825,unchanged,,,Inflammation/NF-κB,"Iron (non-heme), Calcium","5-LOX, leukotriene synthesis",0.002456544166201204
CAT,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,6.076470588235295,6.044444444444444,0.03202614379085045,0.8499955717829355,0.1926805751948003,unchanged,,,Antioxidant defense,Iron (heme),Catalase,0.002456544166201204
CBS,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,1.588235294117647,1.2111111111111112,0.3771241830065357,0.22236004100562656,1.2640968920021611,up,,,Methylation,"Vitamin B6 (PLP), Iron (heme)",Homocysteine → cystathionine,0.002456544166201204
CYP24A1,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,4.576470588235295,4.7,-0.12352941176470544,0.7604640273193521,-0.31201216375891283,unchanged,,,Vitamin D,"Iron (heme), NADPH","1,25(OH)₂D inactivation",0.002456544166201204
CYP2R1,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,4.476470588235294,4.388888888888889,0.08758169934640492,0.29789385267914537,1.0675130646403639,unchanged,,,Vitamin D,"Iron (heme), NADPH",Vitamin D → 25(OH)D hydroxylation,0.002456544166201204
FCER1A,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,1.188235294117647,2.1444444444444444,-0.9562091503267973,0.013388894835819528,-2.691431384840802,down,,,Mast cell/allergy,None,High-affinity IgE receptor alpha,0.002456544166201204
GATA3,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,1.511764705882353,1.422222222222222,0.08954248366013084,0.7512392990946408,0.3237798201958422,unchanged,,,Alarmin/ILC2,Zinc (zinc finger),Th2/ILC2 master TF,0.002456544166201204
GCLC,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,7.794117647058823,7.888888888888889,-0.09477124183006591,0.43346015650667624,-0.7980007654453635,unchanged,,,Antioxidant defense,"Cysteine, Glutamate",Glutamate-cysteine ligase catalytic,0.002456544166201204
GCLM,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,6.517647058823529,6.666666666666668,-0.1490196078431385,0.22773298309316078,-1.2505312259581032,unchanged,,,Antioxidant defense,None,Glutamate-cysteine ligase modifier,0.002456544166201204
GPX1,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,5.788235294117647,5.855555555555556,-0.06732026143790915,0.7330336234714191,-0.34852534059878365,unchanged,,,Antioxidant defense,Selenium (selenocysteine),Glutathione peroxidase 1,0.002456544166201204
GPX4,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,6.194117647058825,6.366666666666667,-0.17254901960784252,0.2798673427572093,-1.1117883898399517,unchanged,,,Antioxidant defense,Selenium (selenocysteine),Phospholipid glutathione peroxidase,0.002456544166201204
GSR,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,7.3,7.2666666666666675,0.03333333333333233,0.8012447749440142,0.25725483214469747,unchanged,,,Antioxidant defense,FAD (Vitamin B2),Glutathione reductase,0.002456544166201204
HAAO,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,1.1411764705882352,1.2444444444444445,-0.10326797385620923,0.49974364870970284,-0.6891658169812155,unchanged,,,Tryptophan metabolism,Iron (non-heme),3-HAA → quinolinic acid,0.002456544166201204
HDC,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,1.9588235294117646,1.7555555555555555,0.2032679738562091,0.5728292424869775,0.5759212352285201,unchanged,,,Histamine metabolism,Vitamin B6 (PLP),Histidine → Histamine,0.002456544166201204
HNMT,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,4.882352941176471,5.066666666666666,-0.18431372549019542,0.4430421836371363,-0.7863768768371215,unchanged,,,Histamine metabolism,SAM (methyl donor),Histamine N-methylation,0.002456544166201204
HRH1,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,1.5058823529411764,0.7222222222222222,0.7836601307189542,0.037841782321760234,2.2333255824174674,up,,,Histamine metabolism,None,Histamine receptor H1,0.002456544166201204
IDO1,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,6.364705882352942,4.5,1.8647058823529417,0.03003276992936528,2.4174107823364857,up,,,Tryptophan metabolism,Iron (heme),Trp → kynurenine (immune-induced),0.002456544166201204
IL1B,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,1.935294117647059,0.4222222222222223,1.5130718954248368,0.12541539463724322,1.6198658615971697,up,,,Inflammation/NF-κB,None,Interleukin 1 beta,0.002456544166201204
IL33,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,7.46470588235294,7.577777777777778,-0.11307189542483798,0.6359811383219115,-0.4797264212458646,unchanged,,,Alarmin/ILC2,None,Alarmin / ILC2 activator,0.002456544166201204
IL5RA,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,5.376470588235295,5.566666666666666,-0.19019607843137187,0.3180037815865705,-1.0281329653456657,unchanged,,,Eosinophil,None,IL-5 receptor alpha,0.002456544166201204
KIT,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,5.2823529411764705,5.322222222222222,-0.03986928104575149,0.7785974849288081,-0.28463100305498384,unchanged,,,Mast cell/allergy,None,SCF receptor / mast cell growth,0.002456544166201204
KMO,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,0.5352941176470589,-0.18888888888888888,0.7241830065359478,0.08323791785954895,1.8408544595936975,up,,,Tryptophan metabolism,FAD (Vitamin B2),Kynurenine → 3-HK,0.002456544166201204
KYNU,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,5.505882352941177,4.944444444444444,0.5614379084967336,0.2514270133455442,1.2113112379039914,up,,,Tryptophan metabolism,Vitamin B6 (PLP),Kynurenine → anthranilic acid,0.002456544166201204
MAT1A,AllRhinitis_vs_Control,GSE101720,Nasal epithelium,3.5,3.244444444444445,0.2555555555555551,0.49176398518350445,0.7030459745036652,unchanged,,,Methylation,"Magnesium, ATP",Methionine → SAM,0.002456544166201204
