nutrient,cumulative_risk_score,risk_category,contributing_drugs
Calcium,-5.75,HIGH RISK,"{""cetirizine"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""fluticasone"": {""score"": -3.0, ""type"": ""DEPLETES"", ""confidence"": ""THEORETICAL""}, ""prednisone"": {""score"": -0.75, ""type"": ""DEPLETES"", ""confidence"": ""ESTABLISHED""}, ""famotidine"": {""score"": -2.0, ""type"": ""BLOCKS_ABSORPTION"", ""confidence"": ""ESTABLISHED""}, ""montelukast"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}}"
Zinc,-3.75,HIGH RISK,"{""cetirizine"": {""score"": -1.0, ""type"": ""INCREASES_DEMAND"", ""confidence"": ""THEORETICAL""}, ""fluticasone"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""prednisone"": {""score"": -0.75, ""type"": ""DEPLETES"", ""confidence"": ""PROBABLE""}, ""famotidine"": {""score"": -2.0, ""type"": ""BLOCKS_ABSORPTION"", ""confidence"": ""PROBABLE""}, ""montelukast"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}}"
Magnesium,-2.75,MODERATE RISK,"{""cetirizine"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""fluticasone"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""prednisone"": {""score"": -0.75, ""type"": ""DEPLETES"", ""confidence"": ""PROBABLE""}, ""famotidine"": {""score"": -2.0, ""type"": ""BLOCKS_ABSORPTION"", ""confidence"": ""PROBABLE""}, ""montelukast"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}}"
Phosphorus,-2.75,MODERATE RISK,"{""cetirizine"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""fluticasone"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""prednisone"": {""score"": -0.75, ""type"": ""DEPLETES"", ""confidence"": ""PROBABLE""}, ""famotidine"": {""score"": -2.0, ""type"": ""BLOCKS_ABSORPTION"", ""confidence"": ""THEORETICAL""}, ""montelukast"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}}"
Chromium,-2.75,MODERATE RISK,"{""cetirizine"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""fluticasone"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""prednisone"": {""score"": -0.75, ""type"": ""DEPLETES"", ""confidence"": ""PROBABLE""}, ""famotidine"": {""score"": -2.0, ""type"": ""BLOCKS_ABSORPTION"", ""confidence"": ""THEORETICAL""}, ""montelukast"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}}"
Vitamin B6,-2.25,MODERATE RISK,"{""cetirizine"": {""score"": -1.0, ""type"": ""INCREASES_DEMAND"", ""confidence"": ""THEORETICAL""}, ""fluticasone"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""prednisone"": {""score"": -0.25, ""type"": ""INCREASES_DEMAND"", ""confidence"": ""PROBABLE""}, ""montelukast"": {""score"": -1.0, ""type"": ""INCREASES_DEMAND"", ""confidence"": ""THEORETICAL""}}"
Folate (B9),-2.25,MODERATE RISK,"{""cetirizine"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""fluticasone"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""prednisone"": {""score"": -0.25, ""type"": ""INCREASES_DEMAND"", ""confidence"": ""THEORETICAL""}, ""famotidine"": {""score"": -2.0, ""type"": ""BLOCKS_ABSORPTION"", ""confidence"": ""PROBABLE""}, ""montelukast"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}}"
Iron,-2.125,MODERATE RISK,"{""cetirizine"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""fluticasone"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""prednisone"": {""score"": -0.125, ""type"": ""REDISTRIBUTES"", ""confidence"": ""THEORETICAL""}, ""famotidine"": {""score"": -2.0, ""type"": ""BLOCKS_ABSORPTION"", ""confidence"": ""ESTABLISHED""}, ""montelukast"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}}"
Vitamin B12,-2.0,MODERATE RISK,"{""cetirizine"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""fluticasone"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""famotidine"": {""score"": -2.0, ""type"": ""BLOCKS_ABSORPTION"", ""confidence"": ""ESTABLISHED""}, ""montelukast"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}}"
Potassium,-0.75,LOW RISK,"{""cetirizine"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""fluticasone"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""prednisone"": {""score"": -0.75, ""type"": ""DEPLETES"", ""confidence"": ""ESTABLISHED""}, ""montelukast"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}}"
Vitamin C,-0.75,LOW RISK,"{""cetirizine"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""fluticasone"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""prednisone"": {""score"": -0.75, ""type"": ""DEPLETES"", ""confidence"": ""PROBABLE""}, ""famotidine"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""montelukast"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}}"
Vitamin D,-0.25,LOW RISK,"{""cetirizine"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""fluticasone"": {""score"": -1.0, ""type"": ""INCREASES_DEMAND"", ""confidence"": ""THEORETICAL""}, ""prednisone"": {""score"": -0.25, ""type"": ""INCREASES_DEMAND"", ""confidence"": ""ESTABLISHED""}, ""montelukast"": {""score"": 1.0, ""type"": ""POTENTIALLY_BENEFICIAL"", ""confidence"": ""PROBABLE""}}"
Vitamin A,-0.25,LOW RISK,"{""cetirizine"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""fluticasone"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""prednisone"": {""score"": -0.25, ""type"": ""INCREASES_DEMAND"", ""confidence"": ""THEORETICAL""}, ""montelukast"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}}"
Sodium,-0.125,LOW RISK,"{""cetirizine"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""fluticasone"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""prednisone"": {""score"": -0.125, ""type"": ""REDISTRIBUTES"", ""confidence"": ""ESTABLISHED""}, ""montelukast"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}}"
Vitamin K,0.0,NEUTRAL,"{""cetirizine"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""fluticasone"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""prednisone"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""montelukast"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}}"
Selenium,0.75,POTENTIALLY BENEFICIAL,"{""cetirizine"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""fluticasone"": {""score"": 0.0, ""type"": ""NO_KNOWN"", ""confidence"": ""ESTABLISHED""}, ""prednisone"": {""score"": -0.25, ""type"": ""INCREASES_DEMAND"", ""confidence"": ""THEORETICAL""}, ""montelukast"": {""score"": 1.0, ""type"": ""POTENTIALLY_BENEFICIAL"", ""confidence"": ""THEORETICAL""}}"
