,Calcium,Magnesium,Zinc,Iron,Potassium,Vitamin D,Vitamin B12,Folate (B9),Vitamin B6,Vitamin C,Vitamin A,Vitamin K,Chromium,Selenium,Phosphorus,Sodium
cetirizine,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
loratadine,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
fexofenadine,ESTABLISHED,ESTABLISHED,THEORETICAL,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
desloratadine,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
bilastine,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
rupatadine,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
diphenhydramine,ESTABLISHED,THEORETICAL,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
chlorphenamine,ESTABLISHED,THEORETICAL,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
clemastine,ESTABLISHED,THEORETICAL,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
hydroxyzine,ESTABLISHED,THEORETICAL,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,THEORETICAL,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED,ESTABLISHED
