,Calcium,Magnesium,Zinc,Iron,Potassium,Vitamin D,Vitamin B12,Folate (B9),Vitamin B6,Vitamin C,Vitamin A,Vitamin K,Chromium,Selenium,Phosphorus,Sodium
cetirizine,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loratadine,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fexofenadine,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
desloratadine,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bilastine,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rupatadine,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
diphenhydramine,0.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chlorphenamine,0.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clemastine,0.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydroxyzine,0.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
famotidine,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,0.0
cimetidine,-2.0,-2.0,-2.0,-2.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,0.0
ranitidine,-2.0,-2.0,-2.0,-2.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,0.0
fluticasone,-3.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mometasone,-3.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
budesonide,-3.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triamcinolone,-3.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prednisone,-3.0,-3.0,-3.0,-0.5,-3.0,-1.0,0.0,-1.0,-1.0,-3.0,-1.0,0.0,-3.0,-1.0,-3.0,-0.5
prednisolone,-3.0,-3.0,-3.0,-0.5,-3.0,-1.0,0.0,-1.0,-1.0,-3.0,-1.0,0.0,-3.0,-1.0,-3.0,-0.5
methylprednisolone,-3.0,-3.0,-3.0,-0.5,-3.0,-1.0,0.0,-1.0,-1.0,-3.0,-1.0,0.0,-3.0,-1.0,-3.0,-0.5
dexamethasone,-3.0,-3.0,-3.0,-0.5,-3.0,-1.0,0.0,-1.0,-1.0,-3.0,-1.0,0.0,-3.0,-1.0,-3.0,-0.5
montelukast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
zafirlukast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cromoglicic acid,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nedocromil,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ketotifen,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
omalizumab,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dupilumab,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mepolizumab,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benralizumab,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pseudoephedrine,-0.5,-3.0,0.0,0.0,-3.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
oxymetazoline,-0.5,-3.0,0.0,0.0,-3.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
