,Calcium,Magnesium,Zinc,Iron,Potassium,Vitamin D,Vitamin B12,Folate (B9),Vitamin B6,Vitamin C,Vitamin A,Vitamin K,Chromium,Selenium,Phosphorus,Sodium
cetirizine,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
loratadine,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
fexofenadine,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,BLOCKS_ABSORPTION,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
desloratadine,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
bilastine,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
rupatadine,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
diphenhydramine,NO_KNOWN,DEPLETES,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
chlorphenamine,NO_KNOWN,DEPLETES,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
clemastine,NO_KNOWN,DEPLETES,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
hydroxyzine,NO_KNOWN,DEPLETES,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
famotidine,BLOCKS_ABSORPTION,BLOCKS_ABSORPTION,BLOCKS_ABSORPTION,BLOCKS_ABSORPTION,NO_KNOWN,NO_KNOWN,BLOCKS_ABSORPTION,BLOCKS_ABSORPTION,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,BLOCKS_ABSORPTION,NO_KNOWN,BLOCKS_ABSORPTION,NO_KNOWN
cimetidine,BLOCKS_ABSORPTION,BLOCKS_ABSORPTION,BLOCKS_ABSORPTION,BLOCKS_ABSORPTION,NO_KNOWN,BLOCKS_ABSORPTION,BLOCKS_ABSORPTION,BLOCKS_ABSORPTION,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,BLOCKS_ABSORPTION,NO_KNOWN,BLOCKS_ABSORPTION,NO_KNOWN
ranitidine,BLOCKS_ABSORPTION,BLOCKS_ABSORPTION,BLOCKS_ABSORPTION,BLOCKS_ABSORPTION,NO_KNOWN,NO_KNOWN,BLOCKS_ABSORPTION,BLOCKS_ABSORPTION,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,BLOCKS_ABSORPTION,NO_KNOWN,BLOCKS_ABSORPTION,NO_KNOWN
fluticasone,DEPLETES,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
mometasone,DEPLETES,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
budesonide,DEPLETES,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
triamcinolone,DEPLETES,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN
prednisone,DEPLETES,DEPLETES,DEPLETES,REDISTRIBUTES,DEPLETES,INCREASES_DEMAND,NO_KNOWN,INCREASES_DEMAND,INCREASES_DEMAND,DEPLETES,INCREASES_DEMAND,NO_KNOWN,DEPLETES,INCREASES_DEMAND,DEPLETES,REDISTRIBUTES
prednisolone,DEPLETES,DEPLETES,DEPLETES,REDISTRIBUTES,DEPLETES,INCREASES_DEMAND,NO_KNOWN,INCREASES_DEMAND,INCREASES_DEMAND,DEPLETES,INCREASES_DEMAND,NO_KNOWN,DEPLETES,INCREASES_DEMAND,DEPLETES,REDISTRIBUTES
methylprednisolone,DEPLETES,DEPLETES,DEPLETES,REDISTRIBUTES,DEPLETES,INCREASES_DEMAND,NO_KNOWN,INCREASES_DEMAND,INCREASES_DEMAND,DEPLETES,INCREASES_DEMAND,NO_KNOWN,DEPLETES,INCREASES_DEMAND,DEPLETES,REDISTRIBUTES
dexamethasone,DEPLETES,DEPLETES,DEPLETES,REDISTRIBUTES,DEPLETES,INCREASES_DEMAND,NO_KNOWN,INCREASES_DEMAND,INCREASES_DEMAND,DEPLETES,INCREASES_DEMAND,NO_KNOWN,DEPLETES,INCREASES_DEMAND,DEPLETES,REDISTRIBUTES
montelukast,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,POTENTIALLY_BENEFICIAL,NO_KNOWN,NO_KNOWN,INCREASES_DEMAND,NO_KNOWN,NO_KNOWN,NO_KNOWN,NO_KNOWN,POTENTIALLY_BENEFICIAL,NO_KNOWN,NO_KNOWN
