protein,is_seed,category,Copper,Iron,Magnesium,Selenium,Vitamin_B6,Vitamin_C,Zinc,num_nutrients
ADAM33,False,Interactor,0,0,0,0,0,0,1,1
ALOX5,True,Inflammation,0,1,0,0,0,0,0,1
AOC1,True,Histamine metabolism,1,0,0,0,0,0,0,1
BCL10,False,Interactor,0,0,0,0,0,0,1,1
BLNK,False,Interactor,0,0,0,0,0,0,0,0
CARD11,False,Interactor,0,0,0,0,0,0,1,1
CBLB,False,Interactor,0,0,0,0,0,0,1,1
CCL1,False,Interactor,0,0,0,0,0,0,0,0
CCL11,True,Eosinophil,0,0,0,0,0,0,0,0
CCL13,False,Interactor,0,0,0,0,0,0,0,0
CCL14,False,Interactor,0,0,0,0,0,0,0,0
CCL15,False,Interactor,0,0,0,0,0,0,0,0
CCL17,False,Interactor,0,0,0,0,0,0,0,0
CCL18,False,Interactor,0,0,0,0,0,0,0,0
CCL22,False,Interactor,0,0,0,0,0,0,0,0
CCL24,False,Interactor,0,0,0,0,0,0,0,0
CCL25,False,Interactor,0,0,0,0,0,0,0,0
CCL26,False,Interactor,0,0,0,0,0,0,0,0
CCL27,False,Interactor,0,0,0,0,0,0,0,0
CCL28,False,Interactor,0,0,0,0,0,0,0,0
CCL5,False,Interactor,0,0,0,0,0,0,0,0
CCL8,False,Interactor,0,0,0,0,0,0,0,0
CCR10,False,Interactor,0,0,0,0,0,0,0,0
CCR3,True,Eosinophil,0,0,0,0,0,0,0,0
CCR4,False,Interactor,0,0,0,0,0,0,0,0
CCR6,False,Interactor,0,0,0,0,0,0,0,0
CCR8,False,Interactor,0,0,0,0,0,0,0,0
CD3E,False,Interactor,0,0,0,0,0,0,0,0
CD79A,False,Interactor,0,0,0,0,0,0,0,0
CLC,False,Interactor,0,0,0,0,0,0,0,0
CLEC1B,False,Interactor,0,0,0,0,0,0,0,0
CLEC4C,False,Interactor,0,0,0,0,0,0,0,0
CLEC6A,False,Interactor,0,0,0,0,0,0,0,0
CLEC9A,False,Interactor,0,0,0,0,0,0,0,0
CMA1,False,Interactor,0,0,0,0,0,0,0,0
CNTFR,False,Interactor,0,0,0,0,0,0,0,0
CPA3,False,Interactor,0,0,0,0,0,0,1,1
CPA4,False,Interactor,0,0,0,0,0,0,1,1
CRLF2,False,Interactor,0,0,0,0,0,0,0,0
CSF2RB,False,Interactor,0,0,0,0,0,0,0,0
CX3CL1,False,Interactor,0,0,0,0,0,0,0,0
CXCL11,False,Interactor,0,0,0,0,0,0,0,0
CXCL14,False,Interactor,0,0,0,0,0,0,0,0
